,0
246,"1658909673, 0.0, 敬二舅"
247,"1658909746, 0.185, 敬二舅"
248,"1658910135, 0.0, 敬二舅"
249,"1658910135, 0.0, 敬二舅"
250,"1658910533, 237.004, 大家注意看，上面都是几十块的，有的只有几块钱（！"
251,"1658910924, 328.699, 忽然觉得现在给爱情贴的标签好简单 人的情感那儿说的清楚"
252,"1658911181, 0.0, 八万人与我同在"
253,"1658915737, 0.0, 美化苦难就是吃人"
254,"1658915817, 0.0, 不要美化苦难"
255,"1658916760, 0.289, 啊                                                                                                这"
256,"1658917435, 0.0, 敬二舅"
257,"1658917860, 0.0, 恭喜你发现镇站之宝"
258,"1658918483, 0.0, 致敬二舅"
259,"1658918938, 0.0, 你精神内耗，是因为真有人骑在你头上作威作福"
260,"1658919066, 0.0, 411"
261,"1658919221, 0.04, 看完这个视频我想起一句话那就是这个世界只有一种英雄主义，就是认清真相之后依然热爱生活"
262,"1658919297, 0.0, 敬二舅"
263,"1658919677, 0.0, 建议成为入站必刷"
264,"1658919874, 0.114, 敬二舅"
265,"1658919992, 0.185, 入站必刷"
266,"1658920179, 0.0, 8.8万＋的人都出来！"
267,"1658920612, 0.106, 我二舅整挺好"
268,"1658920927, 150.819, 老首长也是从人民中来啊"
269,"1658921908, 0.106, 见证二舅打破全站投币量记录"
270,"1658923774, 324.261, 这背影，潇洒的不得了！！"
271,"1658924640, 64.867, 敬二舅"
272,"1658925773, 0.165, 船载石致敬"
273,"1658925776, 35.037,  敬二舅"
274,"1658925854, 31.236, 敬二舅"
275,"1658926377, 0.0, 欢迎观看2022年b站最佳视频"
276,"1658926983, 0.0, 敬二舅"
277,"1658927942, 59.563, 敬二舅"
278,"1658928008, 0.0, 开头这片段太有意思了"
279,"1658928040, 0.286, 三刷了"
280,"1658928185, 0.206, 敬二舅"
281,"1658928892, 0.071, B站之王，没有之一"
282,"1658931271, 20.419, 敬二舅"
283,"1658931303, 0.0, 敬二舅"
284,"1658932258, 0.105, 这个视频很可能，变成点赞量和硬币量最多的视频"
285,"1658932279, 0.0, 先投币为敬"
286,"1658932592, 0.028, 二舅"
287,"1658933042, 41.705, 敬二舅"
288,"1658933376, 0.02, 敬二舅"
289,"1658934015, 0.149, 我的天，七百万"
290,"1658935343, 208.328, ok"
291,"1658936947, 0.0, 致敬二舅"
292,"1658937237, 27.498, 敬二舅"
293,"1658937705, 0.0, 敬二舅"
294,"1658937715, 314.701, 仙人跳：指一种诈财的圈套"
295,"1658938951, 0.0, 敬二舅"
296,"1658941003, 0.0, 敬二舅"
297,"1658946047, 314.853, 拉帮套：指原配丈夫身患恶疾无法支持家庭收入而不得不让妻子找人来支撑，在五六十年代极为猖獗"
298,"1658960173, 0.0, 二舅的真实想法呢，哪怕说句话也好啊。"
299,"1658964884, 0.0, 这视频get到了我的点，我父亲他们几兄弟，我母亲她的几个兄弟不就是这样的人么"
300,"1658966230, 0.0, 老师老师"
301,"1658967008, 33.922, 敬二舅"
302,"1658967036, 0.0, 看了好几遍啦啦啦啦啦啦"
303,"1658967413, 0.0, 尊唐"
304,"1658967813, 0.0, 低保呢？农合呢？有没有？"
305,"1658968479, 0.0, 敬二舅"
306,"1658970552, 0.0, 敬二舅"
307,"1658971385, 0.276, 弹幕"
308,"1658974216, 0.0, 四天0.3亿播放量，就离谱"
309,"1658975487, 0.0, 敬二舅"
310,"1658976793, 0.0, 要愤怒，不要沉默"
311,"1658977426, 0.225, 敬二舅"
312,"1658978288, 0.0, 我大舅在家人群里发了这个视频"
313,"1658978681, 354.148, 你好poping老太太"
314,"1658979319, 0.021, 宝贝我来看了"
315,"1658980048, 0.0, 敬二舅"
316,"1658980459, 3.991, 对不起，第一次看到这个视频我划走了，现在我回来了"
317,"1658982083, 37.579, 敬二舅"
318,"1658983401, 0.0, 希望这视频的播放不会引来一些别有用心的人，打扰二舅宁静的生活。"
319,"1658983906, 0.0, 致敬二舅"
320,"1658984020, 0.0, 3000万！"
321,"1658984755, 0.0, 一天不看浑身难受"
322,"1658985168, 0.0, 敬二舅"
323,"1658985462, 0.0, 敬二舅"
324,"1658987033, 0.0, 3,000万播放纪念!"
325,"1658987191, 0.0, 敬二舅"
326,"1658988259, 204.259, 超豪华OK？二舅内心很可爱"
327,"1658989355, 0.0, 致二舅"
328,"1658989580, 0.108, 币比赞多系列"
329,"1658989925, 0.0, 哭了哭了"
330,"1658991114, 0.0, 欢迎来到币比赞多系列"
331,"1658994147, 0.145, 敬二舅"
332,"1658994532, 0.119, 姥姥年纪大了身体很多部位不自觉的抖动，像是在跳poping，很可爱的形容"
333,"1658996656, 195.277, 我以为他要说二舅后来创办了上海牌"
334,"1658998170, 0.0, 敬二舅"
335,"1658999281, 0.0, 蚌"
336,"1658999523, 0.0, 武训"
337,"1658999897, 0.0, 致敬二舅"
338,"1659000541, 0.0, 敬二舅"
339,"1659001563, 0.105, 蚌"
340,"1659005103, 41.383, 敬二舅"
341,"1659006023, 202.652, 还真是超豪华ok牌"
342,"1659006585, 0.0, 币比赞多系列！"
343,"1659008218, 11.139, 敬二舅"
344,"1659008560, 0.0, 致敬二舅"
345,"1659008656, 162.205, 首长好=首长搓背很好"
346,"1659008701, 0.0, 敬二舅"
347,"1659009936, 0.0, 敬二舅"
348,"1659010748, 0.265, 二舅的针 是什么针？"
349,"1659012364, 0.095, 敬二舅"
350,"1659013796, 330.558, 越发的感觉在看余华的书"
351,"1659015040, 0.0, 苦难无法治愈苦难，二舅苦难的根源是什么"
352,"1659017617, 0.0, 我妈好像是另一个二舅"
353,"1659017974, 27.379, 敬二舅"
354,"1659020088, 32.57, 敬二舅"
355,"1659020721, 0.0, 为什么打不开了"
356,"1659021108, 0.285, 敬二舅"
357,"1659021932, 1.008, +"
358,"1659022191, 152.198, 新一代的兵忘了首长本也从人民中来的"
359,"1659022750, 0.0, up很棒 也敬二舅"
360,"1659022768, 330.62, MD"
361,"1659023715, 0.0, 敬二舅们！"
362,"1659024090, 129.019, 那请快住进..."
363,"1659025251, 0.0, 他大舅他二舅都是他舅，高桌子低板凳都是木头"
364,"1659025522, 33.008, 敬二舅"
365,"1659027747, 76.056, 重看一遍 敬二舅 已三连"
366,"1659027755, 6.642, 二刷"
367,"1659027759, 313.098, 卧槽"
368,"1659027792, 195.344, 我家当年爸妈结婚家具好像，，"
369,"1659027980, 56.929, 莫名同步了"
370,"1659028001, 336.959, 敬二舅"
371,"1659028055, 11.017, 泪目"
372,"1659028421, 27.283, 敬二舅"
373,"1659028495, 282.84, ？？？？？？"
374,"1659028535, 312.213, 短暂的爱过吧 并不求什么结果 而且谁又能说婚姻和生育就是最终结局呢"
375,"1659028580, 337.732, 敬二舅"
376,"1659029055, 322.198, 出自传小说吧感觉能火"
377,"1659029076, 123.888, 他公平，泪目"
378,"1659029245, 8.392, 每天一刷"
379,"1659029256, 10.351, 再来亿遍"
380,"1659029263, 11.641, 敬二舅"
381,"1659029264, 38.442, 敬二舅"
382,"1659029271, 45.125, 敬二舅"
383,"1659029329, 11.305, 敬二舅"
384,"1659029429, 154.238, 我服了"
385,"1659029548, 140.415, 好精神 有点帅的"
386,"1659029579, 82.724, 敬二舅"
387,"1659029746, 111.473, 北京很公平"
388,"1659029850, 7.479, 没绷住"
389,"1659030000, 237.032, 敬二舅"
390,"1659030084, 197.193, 敬二舅"
391,"1659030165, 36.719, 敬二舅"
392,"1659030252, 31.538, 敬二舅"
393,"1659030377, 319.182, 文城"
394,"1659030670, 6.415, 残废的二舅是最快乐的人，讽刺不讽刺？"
395,"1659031003, 10.049, 敬二舅"
396,"1659031012, 11.625, 夜里两点九千加在看！"
397,"1659031021, 26.997, 敬二舅"
398,"1659031569, 122.377, 破防"
399,"1659031734, 19.85, 敬二舅"
400,"1659032460, 10.795, 敬二舅"
401,"1659032890, 5.431, 敬二舅"
402,"1659032993, 256.516, 敬二舅"
403,"1659033450, 325.533, 或许爱情曾来过"
404,"1659033580, 99.077, 敬二舅"
405,"1659033607, 331.259, 背影"
406,"1659034369, 43.736, 敬二舅，我不如也。"
407,"1659034584, 18.585, 敬二舅"
408,"1659034594, 34.961, 敬二舅"
409,"1659035036, 31.742, 二舅是一位伟大的“中医”，治好了千万人恐惧、担忧、自卑、孤独的心理疾病。"
410,"1659035172, 2.725, 视频制作者生活在一个亲情很浓的家庭，对二舅积聚有30年的深厚感情和钦佩。"
