,0,,,,,,,,x,y
,,,,,,,,,129.019,0.299720947
,,,,,,,,,129.803,0.168316832
,,,,,,,,,132.137,0.391087594
,,,,,,,,,133.699,0.311639725
,,,,,,,,,134.681,0.222703117
,,,,,,,,,140.415,0.986676249
,,,,,,,,,142.583,0.222703117
,,,,,,,,,149.194,0.168316832
,,,,,,,,,150.819,0.854449521
,,,,,,,,,151.494,0.728335189
,,,,,,,,,152.198,0.990642377
,,,,,,,,,152.605,0.473767218
,,,,,,,,,154.238,0.5
,,,,,,,,,157.217,0.211930688
,,,,,,,,,157.79,0.545157619
,,,,,,,,,158.974,0.026131316
,,,,,,,,,159.339,0.545157619
,,,,,,,,,160.42,0.571053717
,,,,,,,,,162.205,0.315253156
,,,,,,,,,162.499,0.460390213
,,,,,,,,,163.995,0.995726987
,,,,,,,,,164.647,0.977900593
,,,,,,,,,165.439,0.519014939
,,,,,,,,,167.81,0.008148161
,,,,,,,,,171.509,0.986793499
,,,,,,,,,171.888,0.5
,,,,,,,,,172.264,0.5
,,,,,,,,,173.097,0.359649123
,,,,,,,,,174.239,0.473767218
,,,,,,,,,174.512,0.01470685
,,,,,,,,,176.539,0.490750145
,,,,,,,,,179.046,0.961179356
,,,,,,,,,179.139,0.473767218
,,,,,,,,,181.365,0.5
,,,,,,,,,181.395,0.473767218
,,,,,,,,,182.167,0.900672425
,,,,,,,,,182.479,0.740911092
,,,,,,,,,182.74,0.753901246
,,,,,,,,,182.939,0.797498574
,,,,,,,,,183.42,0.394389678
,,,,,,,,,183.904,0.780699521
,,,,,,,,,185.385,0.240224679
,,,,,,,,,185.823,0.42969324
,,,,,,,,,186.188,0.5
,,,,,,,,,186.435,0.473767218
,,,,,,,,,186.939,0.239162281
,,,,,,,,,187.37,0.414522014
,,,,,,,,,187.822,0.5
,,,,,,,,,188.135,0.497250923
,,,,,,,,,188.786,0.988937043
,,,,,,,,,188.979,0.325744308
,,,,,,,,,189.819,0.75053712
,,,,,,,,,192.019,0.473767218
,,,,,,,,,193.66,0.611650485
,,,,,,,,,194.897,0.241321866
,,,,,,,,,194.978,0.44308237
,,,,,,,,,195.277,0.195651914
