,danmu,time
482, 刻骨铭心, 345.765
483, 敬二舅, 18.642
484, 敬二舅, 10.339
485, 哈哈哈哈, 202.553
486, 他公平, 128.037
487, 妈呀 一天就打四针 我们要好久才打第四针, 27.299
488, 敬二舅, 6.335
489, 敬二舅, 30.859
490, 现在是天才老头（doge, 2.427
491, 敬二舅, 10.073
492, 敬二舅, 26.037
493, 敬老实人, 49.461
494, 像人生海海里的上校, 6.137
495, ok, 206.615
496, 农村这种情况很多, 303.333
497, 敬二舅, 17.681
498, 敬二舅, 16.939
499, 呜呜呜，他公平，我也好想他, 128.701
500, 敬二舅, 27.594
501, 敬二舅, 38.405
502, 永远不要相信苦难是值得的，苦难就是苦难，苦难不会带来成功。苦难不值得追求, 0.845
503, 敬二舅, 29.034
504, 三刷, 2.776
505, 致敬二舅, 44.002
506, woc, 171.888
507, 那双手曾经是拿笔的啊, 341.295
508, 敬二舅, 48.319
509, 他公平, 129.803
510, 好像李宗盛的一首歌，好像叫小镇医生的故事, 335.161
511, 感觉河北邯郸, 23.761
512, 粤A陪一根, 358.939
513, 强烈建议写本《二舅》的传记，谁说只有名人伟人才能写传记, 1.353
514, 敬二舅, 25.699
515, 敬二舅, 79.728
516, 我觉得不如用土方法……, 40.381
517, 这画面感太强。, 0.225
518, 敬二舅, 24.68
519, 全部贴一遍，ok？, 201.519
520, ？, 15.517
521, 兄弟们，把弹幕打在公平上！, 133.699
522, 敬二舅, 23.286
523, 敬二舅, 37.064
524, 敬二舅, 15.072
525, 敬二舅, 49.319
526, 纪念堂 他, 172.264
527, 回想起我的舅爷，他已经去世, 188.786
528, 二舅哪年出生的？, 4.34
529, 每天一刷, 13.579
530, 敬二舅, 5.619
531, 敬二舅, 28.259
532, 首长：谢谢夸奖，有空常来, 165.439
533, 卧槽真的很牛, 182.939
534,   q。                   , 5.855
535, 二舅！, 322.63
536, 二舅本就脑子就很好  只不过腿不行了, 194.978
537, 好惨, 116.499
538, 可恶，为什么一个视频只能投两个币, 30.913
539, 这个拍成电影或电视剧会更火！, 104.719
540, 敬二舅, 14.659
541, 敬二舅, 84.42
542, 敬二舅, 72.693
543, 二舅好, 0.0
